,path,emotion
105,data/train-custom\hamed2_happy.wav,happy
106,data/train-custom\hamed3_happy.wav,happy
107,data/train-custom\hamed4_happy.wav,happy
108,data/train-custom\hamed5_happy.wav,happy
109,data/train-custom\hamed6_happy.wav,happy
110,data/train-custom\hamed7_happy.wav,happy
111,data/train-custom\hamed8_happy.wav,happy
112,data/train-custom\hamed9_happy.wav,happy
113,data/train-custom\hamedA_happy.wav,happy
114,data/train-custom\hamedB_happy.wav,happy
115,data/train-custom\hamedC_happy.wav,happy
116,data/train-custom\nadjib1_happy.wav,happy
117,data/train-custom\nadjib2_happy.wav,happy
118,data/train-custom\nadjib3_happy.wav,happy
119,data/train-custom\nadjib4_happy.wav,happy
120,data/train-custom\nadjib5_happy.wav,happy
121,data/train-custom\nadjib6_happy.wav,happy
122,data/train-custom\nadjib7_happy.wav,happy
123,data/train-custom\nadjib8_happy.wav,happy
124,data/train-custom\nadjib9_happy.wav,happy
125,data/train-custom\nadjibA_happy.wav,happy
126,data/train-custom\nadjibB_happy.wav,happy
127,data/train-custom\nadjibC_happy.wav,happy
128,data/train-custom\oumaima1_happy.wav,happy
129,data/train-custom\oumaima2_happy.wav,happy
130,data/train-custom\oumaima3_happy.wav,happy
131,data/train-custom\oumaima4_happy.wav,happy
132,data/train-custom\oumaima5_happy.wav,happy
133,data/train-custom\oumaima6_happy.wav,happy
134,data/train-custom\oumaima7_happy.wav,happy
135,data/train-custom\oumaima8_happy.wav,happy
136,data/train-custom\oumaima9_happy.wav,happy
137,data/train-custom\oumaimaA_happy.wav,happy
138,data/train-custom\oumaimaB_happy.wav,happy
139,data/train-custom\oumaimaC_happy.wav,happy
140,data/train-custom\rockikz1_happy.wav,happy
141,data/train-custom\rockikz2_happy.wav,happy
142,data/train-custom\rockikz3_happy.wav,happy
143,data/train-custom\rockikz4_happy.wav,happy
144,data/train-custom\rockikz5_happy.wav,happy
145,data/train-custom\rockikz6_happy.wav,happy
146,data/train-custom\rockikz7_happy.wav,happy
147,data/train-custom\rockikz8_happy.wav,happy
148,data/train-custom\rockikz9_happy.wav,happy
149,data/train-custom\rockikzA_happy.wav,happy
150,data/train-custom\rockikzB_happy.wav,happy
151,data/train-custom\rockikzC_happy.wav,happy
152,data/train-custom\soumaya1_happy.wav,happy
153,data/train-custom\this-is-terrible_happy.wav,happy
154,data/train-custom\أعجبني_happy.wav,happy
155,data/train-custom\الفيلم_happy.wav,happy
156,data/train-custom\رائع_happy.wav,happy
157,data/train-custom\سيء_happy.wav,happy
158,data/train-custom\لميعجبني_happy.wav,happy
159,data/train-custom\مقبول_happy.wav,happy
160,data/train-custom\هذا_happy.wav,happy
