,path,emotion
73,speech_emotion/data/training\Actor_04\03-02-04-01-01-02-04_sad.wav,sad
74,speech_emotion/data/training\Actor_04\03-02-04-01-02-01-04_sad.wav,sad
75,speech_emotion/data/training\Actor_04\03-02-04-01-02-02-04_sad.wav,sad
76,speech_emotion/data/training\Actor_04\03-02-04-02-01-01-04_sad.wav,sad
77,speech_emotion/data/training\Actor_04\03-02-04-02-01-02-04_sad.wav,sad
78,speech_emotion/data/training\Actor_04\03-02-04-02-02-01-04_sad.wav,sad
79,speech_emotion/data/training\Actor_04\03-02-04-02-02-02-04_sad.wav,sad
80,speech_emotion/data/training\Actor_04\04_01_01_01_dogs-sitting_sad.wav,sad
81,speech_emotion/data/training\Actor_04\04_01_01_01_kids-talking_sad.wav,sad
82,speech_emotion/data/training\Actor_04\04_01_01_02_dogs-sitting_sad.wav,sad
83,speech_emotion/data/training\Actor_04\04_01_01_02_kids-talking_sad.wav,sad
84,speech_emotion/data/training\Actor_04\04_01_02_01_dogs-sitting_sad.wav,sad
85,speech_emotion/data/training\Actor_04\04_01_02_01_kids-talking_sad.wav,sad
86,speech_emotion/data/training\Actor_04\04_01_02_02_dogs-sitting_sad.wav,sad
87,speech_emotion/data/training\Actor_04\04_01_02_02_kids-talking_sad.wav,sad
88,speech_emotion/data/training\Actor_04\04_02_01_01_dogs-sitting_sad.wav,sad
89,speech_emotion/data/training\Actor_04\04_02_01_01_kids-talking_sad.wav,sad
90,speech_emotion/data/training\Actor_04\04_02_01_02_dogs-sitting_sad.wav,sad
91,speech_emotion/data/training\Actor_04\04_02_01_02_kids-talking_sad.wav,sad
92,speech_emotion/data/training\Actor_04\04_02_02_01_dogs-sitting_sad.wav,sad
93,speech_emotion/data/training\Actor_04\04_02_02_01_kids-talking_sad.wav,sad
94,speech_emotion/data/training\Actor_04\04_02_02_02_dogs-sitting_sad.wav,sad
95,speech_emotion/data/training\Actor_04\04_02_02_02_kids-talking_sad.wav,sad
96,speech_emotion/data/training\Actor_05\03-02-04-01-01-01-05_sad.wav,sad
97,speech_emotion/data/training\Actor_05\03-02-04-01-01-02-05_sad.wav,sad
98,speech_emotion/data/training\Actor_05\03-02-04-01-02-01-05_sad.wav,sad
99,speech_emotion/data/training\Actor_05\03-02-04-01-02-02-05_sad.wav,sad
100,speech_emotion/data/training\Actor_05\03-02-04-02-01-01-05_sad.wav,sad
101,speech_emotion/data/training\Actor_05\03-02-04-02-01-02-05_sad.wav,sad
102,speech_emotion/data/training\Actor_05\03-02-04-02-02-01-05_sad.wav,sad
103,speech_emotion/data/training\Actor_05\03-02-04-02-02-02-05_sad.wav,sad
104,speech_emotion/data/training\Actor_05\05_01_01_01_dogs-sitting_sad.wav,sad
105,speech_emotion/data/training\Actor_05\05_01_01_01_kids-talking_sad.wav,sad
106,speech_emotion/data/training\Actor_05\05_01_01_02_dogs-sitting_sad.wav,sad
107,speech_emotion/data/training\Actor_05\05_01_01_02_kids-talking_sad.wav,sad
108,speech_emotion/data/training\Actor_05\05_01_02_01_dogs-sitting_sad.wav,sad
109,speech_emotion/data/training\Actor_05\05_01_02_01_kids-talking_sad.wav,sad
110,speech_emotion/data/training\Actor_05\05_01_02_02_dogs-sitting_sad.wav,sad
111,speech_emotion/data/training\Actor_05\05_01_02_02_kids-talking_sad.wav,sad
112,speech_emotion/data/training\Actor_05\05_02_01_01_dogs-sitting_sad.wav,sad
113,speech_emotion/data/training\Actor_05\05_02_01_01_kids-talking_sad.wav,sad
114,speech_emotion/data/training\Actor_05\05_02_01_02_dogs-sitting_sad.wav,sad
115,speech_emotion/data/training\Actor_05\05_02_01_02_kids-talking_sad.wav,sad
116,speech_emotion/data/training\Actor_05\05_02_02_01_dogs-sitting_sad.wav,sad
117,speech_emotion/data/training\Actor_05\05_02_02_01_kids-talking_sad.wav,sad
118,speech_emotion/data/training\Actor_05\05_02_02_02_dogs-sitting_sad.wav,sad
119,speech_emotion/data/training\Actor_05\05_02_02_02_kids-talking_sad.wav,sad
120,speech_emotion/data/training\Actor_06\03-02-04-01-01-01-06_sad.wav,sad
121,speech_emotion/data/training\Actor_06\03-02-04-01-01-02-06_sad.wav,sad
122,speech_emotion/data/training\Actor_06\03-02-04-01-02-01-06_sad.wav,sad
123,speech_emotion/data/training\Actor_06\03-02-04-01-02-02-06_sad.wav,sad
124,speech_emotion/data/training\Actor_06\03-02-04-02-01-01-06_sad.wav,sad
125,speech_emotion/data/training\Actor_06\03-02-04-02-01-02-06_sad.wav,sad
126,speech_emotion/data/training\Actor_06\03-02-04-02-02-01-06_sad.wav,sad
127,speech_emotion/data/training\Actor_06\03-02-04-02-02-02-06_sad.wav,sad
128,speech_emotion/data/training\Actor_06\06_01_01_01_dogs-sitting_sad.wav,sad
129,speech_emotion/data/training\Actor_06\06_01_01_01_kids-talking_sad.wav,sad
130,speech_emotion/data/training\Actor_06\06_01_01_02_dogs-sitting_sad.wav,sad
131,speech_emotion/data/training\Actor_06\06_01_01_02_kids-talking_sad.wav,sad
132,speech_emotion/data/training\Actor_06\06_01_02_01_dogs-sitting_sad.wav,sad
133,speech_emotion/data/training\Actor_06\06_01_02_01_kids-talking_sad.wav,sad
134,speech_emotion/data/training\Actor_06\06_01_02_02_dogs-sitting_sad.wav,sad
135,speech_emotion/data/training\Actor_06\06_01_02_02_kids-talking_sad.wav,sad
136,speech_emotion/data/training\Actor_06\06_02_01_01_dogs-sitting_sad.wav,sad
137,speech_emotion/data/training\Actor_06\06_02_01_01_kids-talking_sad.wav,sad
138,speech_emotion/data/training\Actor_06\06_02_01_02_dogs-sitting_sad.wav,sad
139,speech_emotion/data/training\Actor_06\06_02_01_02_kids-talking_sad.wav,sad
140,speech_emotion/data/training\Actor_06\06_02_02_01_dogs-sitting_sad.wav,sad
141,speech_emotion/data/training\Actor_06\06_02_02_01_kids-talking_sad.wav,sad
142,speech_emotion/data/training\Actor_06\06_02_02_02_dogs-sitting_sad.wav,sad
143,speech_emotion/data/training\Actor_06\06_02_02_02_kids-talking_sad.wav,sad
144,speech_emotion/data/training\Actor_07\07_01_01_01_dogs-sitting_sad.wav,sad
145,speech_emotion/data/training\Actor_07\07_01_01_01_kids-talking_sad.wav,sad
146,speech_emotion/data/training\Actor_07\07_01_01_02_dogs-sitting_sad.wav,sad
147,speech_emotion/data/training\Actor_07\07_01_01_02_kids-talking_sad.wav,sad
148,speech_emotion/data/training\Actor_07\07_01_02_01_dogs-sitting_sad.wav,sad
149,speech_emotion/data/training\Actor_07\07_01_02_01_kids-talking_sad.wav,sad
150,speech_emotion/data/training\Actor_07\07_01_02_02_dogs-sitting_sad.wav,sad
151,speech_emotion/data/training\Actor_07\07_01_02_02_kids-talking_sad.wav,sad
152,speech_emotion/data/training\Actor_07\07_02_01_01_dogs-sitting_sad.wav,sad
153,speech_emotion/data/training\Actor_07\07_02_01_01_kids-talking_sad.wav,sad
154,speech_emotion/data/training\Actor_07\07_02_01_02_dogs-sitting_sad.wav,sad
155,speech_emotion/data/training\Actor_07\07_02_01_02_kids-talking_sad.wav,sad
156,speech_emotion/data/training\Actor_07\07_02_02_01_dogs-sitting_sad.wav,sad
157,speech_emotion/data/training\Actor_07\07_02_02_01_kids-talking_sad.wav,sad
158,speech_emotion/data/training\Actor_07\07_02_02_02_dogs-sitting_sad.wav,sad
159,speech_emotion/data/training\Actor_07\07_02_02_02_kids-talking_sad.wav,sad
160,speech_emotion/data/training\Actor_08\08_01_01_01_dogs-sitting_sad.wav,sad
161,speech_emotion/data/training\Actor_08\08_01_01_01_kids-talking_sad.wav,sad
162,speech_emotion/data/training\Actor_08\08_01_01_02_dogs-sitting_sad.wav,sad
163,speech_emotion/data/training\Actor_08\08_01_01_02_kids-talking_sad.wav,sad
164,speech_emotion/data/training\Actor_08\08_01_02_01_dogs-sitting_sad.wav,sad
165,speech_emotion/data/training\Actor_08\08_01_02_01_kids-talking_sad.wav,sad
166,speech_emotion/data/training\Actor_08\08_01_02_02_dogs-sitting_sad.wav,sad
167,speech_emotion/data/training\Actor_08\08_01_02_02_kids-talking_sad.wav,sad
168,speech_emotion/data/training\Actor_08\08_02_01_01_dogs-sitting_sad.wav,sad
169,speech_emotion/data/training\Actor_08\08_02_01_01_kids-talking_sad.wav,sad
170,speech_emotion/data/training\Actor_08\08_02_01_02_dogs-sitting_sad.wav,sad
171,speech_emotion/data/training\Actor_08\08_02_01_02_kids-talking_sad.wav,sad
172,speech_emotion/data/training\Actor_08\08_02_02_01_dogs-sitting_sad.wav,sad
173,speech_emotion/data/training\Actor_08\08_02_02_01_kids-talking_sad.wav,sad
174,speech_emotion/data/training\Actor_08\08_02_02_02_dogs-sitting_sad.wav,sad
175,speech_emotion/data/training\Actor_08\08_02_02_02_kids-talking_sad.wav,sad
176,speech_emotion/data/training\Actor_09\09_01_01_01_dogs-sitting_sad.wav,sad
177,speech_emotion/data/training\Actor_09\09_01_01_01_kids-talking_sad.wav,sad
178,speech_emotion/data/training\Actor_09\09_01_01_02_dogs-sitting_sad.wav,sad
179,speech_emotion/data/training\Actor_09\09_01_01_02_kids-talking_sad.wav,sad
180,speech_emotion/data/training\Actor_09\09_01_02_01_dogs-sitting_sad.wav,sad
181,speech_emotion/data/training\Actor_09\09_01_02_01_kids-talking_sad.wav,sad
182,speech_emotion/data/training\Actor_09\09_01_02_02_dogs-sitting_sad.wav,sad
183,speech_emotion/data/training\Actor_09\09_01_02_02_kids-talking_sad.wav,sad
184,speech_emotion/data/training\Actor_09\09_02_01_01_dogs-sitting_sad.wav,sad
185,speech_emotion/data/training\Actor_09\09_02_01_01_kids-talking_sad.wav,sad
186,speech_emotion/data/training\Actor_09\09_02_01_02_dogs-sitting_sad.wav,sad
187,speech_emotion/data/training\Actor_09\09_02_01_02_kids-talking_sad.wav,sad
188,speech_emotion/data/training\Actor_09\09_02_02_01_dogs-sitting_sad.wav,sad
189,speech_emotion/data/training\Actor_09\09_02_02_01_kids-talking_sad.wav,sad
190,speech_emotion/data/training\Actor_09\09_02_02_02_dogs-sitting_sad.wav,sad
191,speech_emotion/data/training\Actor_09\09_02_02_02_kids-talking_sad.wav,sad
192,speech_emotion/data/training\Actor_10\10_01_01_01_dogs-sitting_sad.wav,sad
193,speech_emotion/data/training\Actor_10\10_01_01_01_kids-talking_sad.wav,sad
194,speech_emotion/data/training\Actor_10\10_01_01_02_dogs-sitting_sad.wav,sad
195,speech_emotion/data/training\Actor_10\10_01_01_02_kids-talking_sad.wav,sad
196,speech_emotion/data/training\Actor_10\10_01_02_01_dogs-sitting_sad.wav,sad
197,speech_emotion/data/training\Actor_10\10_01_02_01_kids-talking_sad.wav,sad
198,speech_emotion/data/training\Actor_10\10_01_02_02_dogs-sitting_sad.wav,sad
199,speech_emotion/data/training\Actor_10\10_01_02_02_kids-talking_sad.wav,sad
200,speech_emotion/data/training\Actor_10\10_02_01_01_dogs-sitting_sad.wav,sad
201,speech_emotion/data/training\Actor_10\10_02_01_01_kids-talking_sad.wav,sad
202,speech_emotion/data/training\Actor_10\10_02_01_02_dogs-sitting_sad.wav,sad
203,speech_emotion/data/training\Actor_10\10_02_01_02_kids-talking_sad.wav,sad
204,speech_emotion/data/training\Actor_10\10_02_02_01_dogs-sitting_sad.wav,sad
205,speech_emotion/data/training\Actor_10\10_02_02_01_kids-talking_sad.wav,sad
206,speech_emotion/data/training\Actor_10\10_02_02_02_dogs-sitting_sad.wav,sad
207,speech_emotion/data/training\Actor_10\10_02_02_02_kids-talking_sad.wav,sad
208,speech_emotion/data/training\Actor_11\03-02-04-01-01-01-11_sad.wav,sad
209,speech_emotion/data/training\Actor_11\03-02-04-01-01-02-11_sad.wav,sad
210,speech_emotion/data/training\Actor_11\03-02-04-01-02-01-11_sad.wav,sad
211,speech_emotion/data/training\Actor_11\03-02-04-01-02-02-11_sad.wav,sad
212,speech_emotion/data/training\Actor_11\03-02-04-02-01-01-11_sad.wav,sad
213,speech_emotion/data/training\Actor_11\03-02-04-02-01-02-11_sad.wav,sad
214,speech_emotion/data/training\Actor_11\03-02-04-02-02-01-11_sad.wav,sad
215,speech_emotion/data/training\Actor_11\03-02-04-02-02-02-11_sad.wav,sad
216,speech_emotion/data/training\Actor_11\11_01_01_01_dogs-sitting_sad.wav,sad
217,speech_emotion/data/training\Actor_11\11_01_01_01_kids-talking_sad.wav,sad
218,speech_emotion/data/training\Actor_11\11_01_01_02_dogs-sitting_sad.wav,sad
219,speech_emotion/data/training\Actor_11\11_01_01_02_kids-talking_sad.wav,sad
220,speech_emotion/data/training\Actor_11\11_01_02_01_dogs-sitting_sad.wav,sad
221,speech_emotion/data/training\Actor_11\11_01_02_01_kids-talking_sad.wav,sad
222,speech_emotion/data/training\Actor_11\11_01_02_02_dogs-sitting_sad.wav,sad
223,speech_emotion/data/training\Actor_11\11_01_02_02_kids-talking_sad.wav,sad
224,speech_emotion/data/training\Actor_11\11_02_01_01_dogs-sitting_sad.wav,sad
225,speech_emotion/data/training\Actor_11\11_02_01_01_kids-talking_sad.wav,sad
226,speech_emotion/data/training\Actor_11\11_02_01_02_dogs-sitting_sad.wav,sad
227,speech_emotion/data/training\Actor_11\11_02_01_02_kids-talking_sad.wav,sad
228,speech_emotion/data/training\Actor_11\11_02_02_01_dogs-sitting_sad.wav,sad
229,speech_emotion/data/training\Actor_11\11_02_02_01_kids-talking_sad.wav,sad
230,speech_emotion/data/training\Actor_11\11_02_02_02_dogs-sitting_sad.wav,sad
231,speech_emotion/data/training\Actor_11\11_02_02_02_kids-talking_sad.wav,sad
232,speech_emotion/data/training\Actor_12\03-02-04-01-01-01-12_sad.wav,sad
233,speech_emotion/data/training\Actor_12\03-02-04-01-01-02-12_sad.wav,sad
234,speech_emotion/data/training\Actor_12\03-02-04-01-02-01-12_sad.wav,sad
235,speech_emotion/data/training\Actor_12\03-02-04-01-02-02-12_sad.wav,sad
236,speech_emotion/data/training\Actor_12\03-02-04-02-01-01-12_sad.wav,sad
237,speech_emotion/data/training\Actor_12\03-02-04-02-01-02-12_sad.wav,sad
238,speech_emotion/data/training\Actor_12\03-02-04-02-02-01-12_sad.wav,sad
239,speech_emotion/data/training\Actor_12\03-02-04-02-02-02-12_sad.wav,sad
240,speech_emotion/data/training\Actor_12\12_01_01_01_dogs-sitting_sad.wav,sad
241,speech_emotion/data/training\Actor_12\12_01_01_01_kids-talking_sad.wav,sad
242,speech_emotion/data/training\Actor_12\12_01_01_02_dogs-sitting_sad.wav,sad
243,speech_emotion/data/training\Actor_12\12_01_01_02_kids-talking_sad.wav,sad
244,speech_emotion/data/training\Actor_12\12_01_02_01_dogs-sitting_sad.wav,sad
245,speech_emotion/data/training\Actor_12\12_01_02_01_kids-talking_sad.wav,sad
246,speech_emotion/data/training\Actor_12\12_01_02_02_dogs-sitting_sad.wav,sad
247,speech_emotion/data/training\Actor_12\12_01_02_02_kids-talking_sad.wav,sad
248,speech_emotion/data/training\Actor_12\12_02_01_01_dogs-sitting_sad.wav,sad
249,speech_emotion/data/training\Actor_12\12_02_01_01_kids-talking_sad.wav,sad
250,speech_emotion/data/training\Actor_12\12_02_01_02_dogs-sitting_sad.wav,sad
251,speech_emotion/data/training\Actor_12\12_02_01_02_kids-talking_sad.wav,sad
252,speech_emotion/data/training\Actor_12\12_02_02_01_dogs-sitting_sad.wav,sad
253,speech_emotion/data/training\Actor_12\12_02_02_01_kids-talking_sad.wav,sad
254,speech_emotion/data/training\Actor_12\12_02_02_02_dogs-sitting_sad.wav,sad
255,speech_emotion/data/training\Actor_12\12_02_02_02_kids-talking_sad.wav,sad
256,speech_emotion/data/training\Actor_13\03-02-04-01-01-01-13_sad.wav,sad
257,speech_emotion/data/training\Actor_13\03-02-04-01-01-02-13_sad.wav,sad
258,speech_emotion/data/training\Actor_13\03-02-04-01-02-01-13_sad.wav,sad
259,speech_emotion/data/training\Actor_13\03-02-04-01-02-02-13_sad.wav,sad
260,speech_emotion/data/training\Actor_13\03-02-04-02-01-01-13_sad.wav,sad
261,speech_emotion/data/training\Actor_13\03-02-04-02-01-02-13_sad.wav,sad
262,speech_emotion/data/training\Actor_13\03-02-04-02-02-01-13_sad.wav,sad
263,speech_emotion/data/training\Actor_13\03-02-04-02-02-02-13_sad.wav,sad
264,speech_emotion/data/training\Actor_13\13_01_01_01_dogs-sitting_sad.wav,sad
265,speech_emotion/data/training\Actor_13\13_01_01_01_kids-talking_sad.wav,sad
266,speech_emotion/data/training\Actor_13\13_01_01_02_dogs-sitting_sad.wav,sad
267,speech_emotion/data/training\Actor_13\13_01_01_02_kids-talking_sad.wav,sad
268,speech_emotion/data/training\Actor_13\13_01_02_01_dogs-sitting_sad.wav,sad
269,speech_emotion/data/training\Actor_13\13_01_02_01_kids-talking_sad.wav,sad
270,speech_emotion/data/training\Actor_13\13_01_02_02_dogs-sitting_sad.wav,sad
271,speech_emotion/data/training\Actor_13\13_01_02_02_kids-talking_sad.wav,sad
272,speech_emotion/data/training\Actor_13\13_02_01_01_dogs-sitting_sad.wav,sad
273,speech_emotion/data/training\Actor_13\13_02_01_01_kids-talking_sad.wav,sad
274,speech_emotion/data/training\Actor_13\13_02_01_02_dogs-sitting_sad.wav,sad
275,speech_emotion/data/training\Actor_13\13_02_01_02_kids-talking_sad.wav,sad
276,speech_emotion/data/training\Actor_13\13_02_02_01_dogs-sitting_sad.wav,sad
277,speech_emotion/data/training\Actor_13\13_02_02_01_kids-talking_sad.wav,sad
278,speech_emotion/data/training\Actor_13\13_02_02_02_dogs-sitting_sad.wav,sad
279,speech_emotion/data/training\Actor_13\13_02_02_02_kids-talking_sad.wav,sad
280,speech_emotion/data/training\Actor_14\03-02-04-01-01-01-14_sad.wav,sad
281,speech_emotion/data/training\Actor_14\03-02-04-01-01-02-14_sad.wav,sad
282,speech_emotion/data/training\Actor_14\03-02-04-01-02-01-14_sad.wav,sad
283,speech_emotion/data/training\Actor_14\03-02-04-01-02-02-14_sad.wav,sad
284,speech_emotion/data/training\Actor_14\03-02-04-02-01-01-14_sad.wav,sad
285,speech_emotion/data/training\Actor_14\03-02-04-02-01-02-14_sad.wav,sad
286,speech_emotion/data/training\Actor_14\03-02-04-02-02-01-14_sad.wav,sad
287,speech_emotion/data/training\Actor_14\03-02-04-02-02-02-14_sad.wav,sad
288,speech_emotion/data/training\Actor_14\14_02_01_01_dogs-sitting_sad.wav,sad
289,speech_emotion/data/training\Actor_14\14_02_01_01_kids-talking_sad.wav,sad
290,speech_emotion/data/training\Actor_14\14_02_01_02_dogs-sitting_sad.wav,sad
291,speech_emotion/data/training\Actor_14\14_02_01_02_kids-talking_sad.wav,sad
292,speech_emotion/data/training\Actor_14\14_02_02_01_dogs-sitting_sad.wav,sad
293,speech_emotion/data/training\Actor_14\14_02_02_01_kids-talking_sad.wav,sad
294,speech_emotion/data/training\Actor_14\14_02_02_02_dogs-sitting_sad.wav,sad
295,speech_emotion/data/training\Actor_14\14_02_02_02_kids-talking_sad.wav,sad
296,speech_emotion/data/training\Actor_15\03-02-04-01-01-01-15_sad.wav,sad
297,speech_emotion/data/training\Actor_15\03-02-04-01-01-02-15_sad.wav,sad
298,speech_emotion/data/training\Actor_15\03-02-04-01-02-01-15_sad.wav,sad
299,speech_emotion/data/training\Actor_15\03-02-04-01-02-02-15_sad.wav,sad
300,speech_emotion/data/training\Actor_15\03-02-04-02-01-01-15_sad.wav,sad
301,speech_emotion/data/training\Actor_15\03-02-04-02-01-02-15_sad.wav,sad
302,speech_emotion/data/training\Actor_15\03-02-04-02-02-01-15_sad.wav,sad
303,speech_emotion/data/training\Actor_15\03-02-04-02-02-02-15_sad.wav,sad
304,speech_emotion/data/training\Actor_15\15_02_01_01_dogs-sitting_sad.wav,sad
305,speech_emotion/data/training\Actor_15\15_02_01_01_kids-talking_sad.wav,sad
306,speech_emotion/data/training\Actor_15\15_02_01_02_dogs-sitting_sad.wav,sad
307,speech_emotion/data/training\Actor_15\15_02_01_02_kids-talking_sad.wav,sad
308,speech_emotion/data/training\Actor_15\15_02_02_01_dogs-sitting_sad.wav,sad
309,speech_emotion/data/training\Actor_15\15_02_02_01_kids-talking_sad.wav,sad
310,speech_emotion/data/training\Actor_15\15_02_02_02_dogs-sitting_sad.wav,sad
311,speech_emotion/data/training\Actor_15\15_02_02_02_kids-talking_sad.wav,sad
312,speech_emotion/data/training\Actor_16\03-02-04-01-01-01-16_sad.wav,sad
313,speech_emotion/data/training\Actor_16\03-02-04-01-01-02-16_sad.wav,sad
314,speech_emotion/data/training\Actor_16\03-02-04-01-02-01-16_sad.wav,sad
315,speech_emotion/data/training\Actor_16\03-02-04-01-02-02-16_sad.wav,sad
316,speech_emotion/data/training\Actor_16\03-02-04-02-01-01-16_sad.wav,sad
317,speech_emotion/data/training\Actor_16\03-02-04-02-01-02-16_sad.wav,sad
318,speech_emotion/data/training\Actor_16\03-02-04-02-02-01-16_sad.wav,sad
319,speech_emotion/data/training\Actor_16\03-02-04-02-02-02-16_sad.wav,sad
320,speech_emotion/data/training\Actor_16\16_02_01_01_dogs-sitting_sad.wav,sad
321,speech_emotion/data/training\Actor_16\16_02_01_01_kids-talking_sad.wav,sad
322,speech_emotion/data/training\Actor_16\16_02_01_02_dogs-sitting_sad.wav,sad
323,speech_emotion/data/training\Actor_16\16_02_01_02_kids-talking_sad.wav,sad
324,speech_emotion/data/training\Actor_16\16_02_02_01_dogs-sitting_sad.wav,sad
325,speech_emotion/data/training\Actor_16\16_02_02_01_kids-talking_sad.wav,sad
326,speech_emotion/data/training\Actor_16\16_02_02_02_dogs-sitting_sad.wav,sad
